model,quantization,context_length,file_size_mb,peak_ram_mb,prompt_eval_tps,eval_tps,wall_s,prompt_tokens,gen_tokens,kv_cache_type,quality_avg,notes
llama3.2:3b-instruct-q8_0,Q8_0,2048,3263.4,5558.2,230.42,11.23,25.03,47,200,f16,2.4,"PartA speed=3 runs avg, temp=0 seed=42"
llama3.2:3b-instruct-q4_K_M,Q4_K_M,2048,1925.8,2544.9,524.4,19.24,21.01,47,200,f16,2.4,"PartA speed=3 runs avg, temp=0 seed=42"
llama3.2:3b-instruct-q3_K_M,Q3_K_M,2048,1609.0,1985.4,581.24,22.52,17.36,47,200,f16,2.0,"PartA speed=3 runs avg, temp=0 seed=42"
llama3.2:3b-instruct-q4_K_M,Q4_K_M,512,,2080.0,74.14,14.67,22.38,251,96,f16,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,2048,,2326.8,75.83,14.15,41.5,1535,107,f16,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,8192,,3078.7,48.02,6.17,174.08,6778,112,f16,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,16384,,3939.3,35.69,4.01,437.0,13840,112,f16,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,512,,2126.0,84.58,18.61,19.87,251,96,q8_0,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,2048,,2245.7,62.41,15.0,38.97,1535,107,q8_0,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,8192,,2675.6,28.56,7.86,258.48,6778,112,q8_0,,PartB
llama3.2:3b-instruct-q4_K_M,Q4_K_M,16384,,3155.4,13.62,4.08,1051.02,13840,112,q8_0,,PartB
llama3.2:3b-instruct-q8_0,Q8_0,2048,3263.4,3596.4,369.89,13.38,20.53,47,200,f16,,"PartA speed=3 runs avg, temp=0 seed=42"
llama3.2:3b-instruct-q4_K_M,Q4_K_M,2048,1925.8,2298.2,459.7,16.44,16.93,47,200,f16,,"PartA speed=3 runs avg, temp=0 seed=42"
llama3.2:3b-instruct-q3_K_M,Q3_K_M,2048,1609.0,1987.4,421.09,18.17,17.02,47,200,f16,,"PartA speed=3 runs avg, temp=0 seed=42"
